'Elapsed time','chest_ecg','wrist_ppg','wrist_gyro_x','wrist_gyro_y','wrist_gyro_z','wrist_low_noise_accelerometer_x','wrist_low_noise_accelerometer_y','wrist_low_noise_accelerometer_z','wrist_wide_range_accelerometer_x','wrist_wide_range_accelerometer_y','wrist_wide_range_accelerometer_z','wrist_mag_x','wrist_mag_y','wrist_mag_z','sample_times_for_all_signals_apart_from_ecg'
'0:00.000',-72.121,1271.776,-60.678,-2.177,51.709,2.47,-7.983,3.214,2.343,-7.957,3.168,-0.512,0.558,-0.243,15.997
'0:00.004',-67.788,1267.387,-63.199,-3.005,54.852,2.419,-8.091,3.175,2.258,-8.074,3.068,-0.506,0.565,-0.25,16.001
'0:00.008',-83.701,1254.219,-65.48,-4.247,57.749,2.369,-8.223,3.148,2.229,-8.141,3.067,-0.494,0.558,-0.281,16.005
'0:00.012',-72.386,1286.435,-67.719,-5.643,60.838,2.318,-8.367,3.084,2.191,-8.288,2.987,-0.505,0.551,-0.269,16.009
'0:00.016',-75.893,1257.159,-70.515,-7.038,64.081,2.292,-8.523,3.044,2.133,-8.394,2.966,-0.505,0.56,-0.271,16.013
'0:00.020',-73.18,1287.927,-72.98,-8.494,67.591,2.266,-8.619,3.018,2.085,-8.589,2.895,-0.501,0.553,-0.319,16.017
'0:00.023',-68.085,1315.754,-75.911,-10.028,71.056,2.24,-8.775,3.003,2.085,-8.812,2.903,-0.501,0.553,-0.319,16.021
'0:00.027',-51.908,1344.305,-78.453,-11.607,74.597,2.264,-8.86,2.989,2.114,-8.793,2.894,-0.499,0.553,-0.312,16.025
'0:00.031',-40.858,1350.91,-81.073,-12.91,78.453,2.276,-8.896,3.001,2.095,-8.852,2.815,-0.487,0.544,-0.333,16.029
'0:00.035',-43.802,1362.629,-83.517,-14.474,81.611,2.312,-8.908,3.038,2.124,-8.891,2.855,-0.48,0.551,-0.285,16.032
'0:00.039',-40.031,1378.013,-85.734,-15.486,84.853,2.337,-8.861,3.039,2.143,-8.9,2.893,-0.491,0.542,-0.333,16.036
'0:00.043',-35.167,1389.007,-87.916,-16.406,87.981,2.326,-8.836,3.063,2.152,-8.901,2.874,-0.491,0.542,-0.317,16.04
'0:00.047',-35.167,1377.288,-90.106,-17.158,90.748,2.326,-8.752,3.089,2.172,-8.804,2.895,-0.48,0.541,-0.325,16.044
'0:00.051',-24.415,1388.283,-92.034,-17.71,93.078,2.315,-8.666,3.127,2.181,-8.705,2.974,-0.48,0.541,-0.325,16.048
'0:00.055',-12.274,1364.121,-93.672,-18.185,94.021,2.267,-8.581,3.164,2.19,-8.695,2.994,-0.478,0.53,-0.365,16.052
'0:00.059',-9.296,1375.072,-95.6,-18.553,97.01,2.231,-8.471,3.202,2.141,-8.577,3.072,-0.47,0.537,-0.396,16.056
'0:00.063',-3.11,1372.899,-97.387,-18.43,99.479,2.171,-8.385,3.226,2.123,-8.508,3.092,-0.48,0.518,-0.384,16.06
'0:00.066',28.981,1398.553,-98.707,-18.062,101.648,2.123,-8.275,3.252,2.026,-8.349,3.179,-0.456,0.525,-0.407,16.064
'0:00.070',23.324,1392.672,-100.529,-17.418,103.257,2.05,-8.201,3.276,1.987,-8.309,3.228,-0.464,0.509,-0.425,16.068
'0:00.074',36.259,1364.845,-101.68,-17.02,104.729,1.991,-8.091,3.302,1.948,-8.221,3.218,-0.464,0.509,-0.407,16.071
'0:00.078',39.501,1387.558,-103.036,-16.038,106.4,1.918,-8.065,3.301,1.804,-8.081,3.275,-0.461,0.519,-0.407,16.075
'0:00.082',60.509,1418.326,-104.286,-15.057,107.527,1.894,-8.016,3.326,1.813,-8.102,3.255,-0.461,0.519,-0.427,16.079
'0:00.086',60.509,1421.991,-105.317,-14.214,108.868,1.856,-8.015,3.35,1.765,-8.023,3.265,-0.447,0.498,-0.476,16.083
'0:00.090',72.121,1398.553,-106.214,-12.88,109.558,1.819,-8.062,3.336,1.727,-8.022,3.274,-0.454,0.496,-0.442,16.087
'0:00.094',69.144,1434.434,-106.977,-11.561,110.478,1.782,-8.133,3.359,1.669,-8.108,3.273,-0.454,0.502,-0.461,16.091
'0:00.098',87.207,1404.391,-108.001,-10.242,111.306,1.769,-8.156,3.383,1.668,-8.195,3.331,-0.436,0.495,-0.461,16.095
'0:00.102',75.628,1445.428,-108.354,-8.709,112.256,1.756,-8.263,3.416,1.649,-8.253,3.339,-0.436,0.495,-0.461,16.099
'0:00.105',77.514,1473.98,-108.968,-6.977,112.824,1.742,-8.383,3.451,1.668,-8.369,3.368,-0.443,0.489,-0.505,16.103
'0:00.109',89.093,1438.823,-109.166,-4.753,113.352,1.74,-8.526,3.485,1.619,-8.454,3.455,-0.442,0.489,-0.492,16.107
'0:00.113',99.614,1475.471,-109.053,-2.637,114.211,1.726,-8.693,3.541,1.619,-8.647,3.473,-0.442,0.48,-0.505,16.111
'0:00.117',100.97,1495.969,-108.884,-0.414,114.732,1.712,-8.86,3.562,1.648,-8.765,3.453,-0.438,0.477,-0.499,16.114
'0:00.121',91.806,1517.958,-108.601,2.193,115.491,1.673,-9.063,3.607,1.551,-8.976,3.498,-0.419,0.482,-0.503,16.118
'0:00.125',95.015,1504.747,-107.817,5.137,115.851,1.622,-9.229,3.652,1.55,-9.178,3.614,-0.417,0.47,-0.555,16.122
'0:00.129',89.92,1511.352,-107.365,7.774,116.603,1.559,-9.42,3.672,1.492,-9.303,3.602,-0.417,0.47,-0.555,16.126
'0:00.133',83.701,1528.185,-106.045,10.503,117.101,1.496,-9.551,3.668,1.376,-9.544,3.608,-0.398,0.466,-0.576,16.13
'0:00.137',68.615,1573.612,-104.957,12.818,117.584,1.384,-9.717,3.652,1.318,-9.6,3.645,-0.407,0.463,-0.568,16.134
'0:00.141',59.715,1548.001,-103.227,14.474,118.113,1.284,-9.884,3.599,1.222,-9.842,3.612,-0.38,0.461,-0.563,16.138
'0:00.145',47.044,1582.433,-101.751,15.931,118.412,1.185,-10.004,3.486,1.098,-9.988,3.482,-0.394,0.445,-0.603,16.142
'0:00.148',42.181,1562.617,-98.178,16.406,118.833,1.05,-10.147,3.385,0.993,-10.065,3.412,-0.386,0.447,-0.578,16.146
'0:00.152',34.903,1616.098,-96.292,15.456,118.672,0.938,-10.266,3.272,0.869,-10.221,3.281,-0.386,0.447,-0.578,16.15
'0:00.156',19.552,1588.271,-94.449,13.784,118.511,0.814,-10.387,3.099,0.802,-10.328,3.221,-0.389,0.452,-0.607,16.154
'0:00.160',10.917,1586.098,-93.107,10.871,117.998,0.679,-10.472,2.902,0.679,-10.476,2.973,-0.38,0.443,-0.607,16.157
'0:00.164',14.689,1610.26,-91.603,7.283,117.499,0.555,-10.593,2.704,0.593,-10.505,2.893,-0.372,0.447,-0.603,16.161
'0:00.168',-6.054,1610.984,-90.459,2.668,116.94,0.457,-10.642,2.52,0.431,-10.594,2.665,-0.344,0.447,-0.647,16.165
'0:00.172',-12.274,1616.098,-89.145,-2.392,116.158,0.357,-10.763,2.372,0.278,-10.721,2.476,-0.363,0.429,-0.643,16.169
'0:00.176',-12.803,1600.714,-87.895,-8.218,115.514,0.272,-10.835,2.272,0.269,-10.762,2.388,-0.356,0.424,-0.63,16.173
'0:00.180',-7.411,1638.811,-86.582,-14.26,114.656,0.21,-10.908,2.149,0.183,-10.869,2.249,-0.356,0.424,-0.63,16.177
'0:00.184',-18.725,1594.152,-85.741,-20.853,113.506,0.16,-10.968,2.099,0.127,-10.909,2.15,-0.342,0.429,-0.68,16.181
'0:00.188',-20.611,1629.308,-84.576,-27.247,112.325,0.098,-11.027,2.073,0.04,-10.977,2.109,-0.326,0.417,-0.649,16.185
'0:00.191',-26.83,1618.314,-83.467,-33.917,111.268,0.072,-11.11,2.071,-0.007,-11.064,2.049,-0.328,0.415,-0.697,16.189
'0:00.195',-28.981,1586.098,-82.224,-40.924,110.248,0.035,-11.121,2.106,-0.037,-11.082,2.117,-0.33,0.399,-0.674,16.193
'0:00.199',-9.296,1586.822,-81.236,-47.732,108.899,-0.002,-11.192,2.141,-0.047,-11.14,2.106,-0.309,0.401,-0.743,16.196
'0:00.203',-4.996,1608.811,-79.978,-54.616,107.711,-0.015,-11.202,2.177,-0.085,-11.159,2.106,-0.309,0.401,-0.743,16.2
'0:00.207',-4.731,1573.612,-78.432,-61.209,106.216,0.022,-11.25,2.249,-0.086,-11.195,2.252,-0.321,0.383,-0.722,16.204
'0:00.211',6.617,1537.731,-76.963,-67.251,104.982,0.082,-11.298,2.322,-0.038,-11.254,2.262,-0.316,0.395,-0.685,16.208
'0:00.215',3.639,1526.736,-75.148,-73.062,103.296,0.167,-11.335,2.408,0.019,-11.312,2.311,-0.314,0.374,-0.724,16.212
'0:00.219',6.319,1506.239,-73.425,-78.183,101.402,0.241,-11.383,2.48,0.172,-11.332,2.411,-0.304,0.365,-0.747,16.216
'0:00.223',-4.168,1503.298,-71.32,-83.197,99.961,0.351,-11.36,2.567,0.191,-11.342,2.45,-0.316,0.362,-0.747,16.22
'0:00.227',12.009,1515.017,-69.611,-87.536,98.543,0.412,-11.385,2.592,0.354,-11.354,2.482,-0.288,0.358,-0.739,16.224
'0:00.230',6.319,1481.309,-67.514,-92.013,96.527,0.522,-11.386,2.653,0.392,-11.392,2.551,-0.288,0.358,-0.739,16.228
'0:00.234',18.725,1421.991,-65.819,-95.279,95.638,0.644,-11.376,2.716,0.555,-11.384,2.613,-0.298,0.348,-0.781,16.232
'0:00.238',21.438,1417.601,-63.51,-98.193,92.733,0.718,-11.377,2.729,0.575,-11.374,2.633,-0.311,0.341,-0.739,16.236
'0:00.242',42.744,1388.283,-61.801,-101.09,92.672,0.816,-11.355,2.755,0.689,-11.346,2.684,-0.3,0.346,-0.762,16.239
'0:00.246',43.538,1386.067,-59.654,-103.283,89.974,0.914,-11.357,2.78,0.805,-11.376,2.705,-0.3,0.33,-0.758,16.243
'0:00.250',55.414,1342.856,-57.436,-105.077,88.441,1,-11.311,2.782,0.862,-11.406,2.715,-0.298,0.328,-0.731,16.247
'0:00.254',67.258,1284.986,-55.459,-106.702,86.969,1.086,-11.277,2.772,1.016,-11.272,2.758,-0.298,0.328,-0.731,16.251
'0:00.258',84.263,1262.997,-53.771,-107.208,85.582,1.209,-11.244,2.738,1.074,-11.274,2.73,-0.293,0.319,-0.774,16.255
'0:00.262',104.741,1243.224,-52.055,-107.5,83.757,1.308,-11.21,2.728,1.228,-11.218,2.713,-0.298,0.307,-0.779,16.259
'0:00.266',107.157,1227.116,-50.219,-107.07,82.263,1.406,-11.177,2.706,1.373,-11.192,2.696,-0.29,0.3,-0.774,16.263
'0:00.270',89.656,1146.533,-48.531,-106.242,80.699,1.517,-11.156,2.659,1.449,-11.193,2.717,-0.276,0.296,-0.762,16.267
'0:00.273',86.413,1151.647,-46.829,-105.062,79.151,1.59,-11.099,2.613,1.556,-11.137,2.661,-0.269,0.296,-0.758,16.271
'0:00.277',69.673,1136.263,-45.508,-103.375,77.564,1.677,-11.042,2.567,1.576,-11.1,2.593,-0.276,0.291,-0.814,16.275
'0:00.281',56.473,1095.95,-44.089,-101.397,76.222,1.751,-11.008,2.532,1.701,-11.006,2.586,-0.276,0.291,-0.814,16.279
'0:00.285',43.008,1052.015,-42.655,-98.944,74.505,1.801,-10.95,2.497,1.778,-10.987,2.588,-0.281,0.273,-0.802,16.282
'0:00.289',26.003,1013.193,-41.349,-96.245,72.903,1.85,-10.927,2.475,1.797,-10.94,2.539,-0.26,0.268,-0.8,16.286
'0:00.293',37.616,1001.474,-40.205,-93.194,71.478,1.863,-10.905,2.427,1.865,-10.914,2.453,-0.281,0.259,-0.781,16.29
'0:00.297',19.552,983.875,-38.715,-90.465,69.891,1.899,-10.906,2.367,1.836,-10.952,2.472,-0.27,0.264,-0.802,16.294
'0:00.301',7.411,965.551,-37.719,-87.291,68.68,1.912,-10.859,2.356,1.827,-10.894,2.413,-0.248,0.261,-0.806,16.298
'0:00.305',-4.168,971.431,-36.589,-84.424,67.216,1.888,-10.799,2.32,1.827,-10.827,2.375,-0.248,0.255,-0.8,16.302
'0:00.309',-21.173,964.826,-35.212,-81.633,66.066,1.852,-10.763,2.26,1.838,-10.76,2.356,-0.27,0.255,-0.8,16.306
'0:00.313',-26.301,933.334,-34.28,-78.72,64.916,1.828,-10.679,2.237,1.751,-10.672,2.277,-0.265,0.241,-0.843,16.31
'0:00.316',-60.245,914.286,-33.143,-76.389,63.544,1.792,-10.619,2.189,1.751,-10.614,2.278,-0.242,0.24,-0.833,16.314
'0:00.320',-72.121,905.507,-31.01,-72.142,61.114,1.769,-10.487,2.143,1.733,-10.499,2.171,-0.249,0.236,-0.864,16.318
'0:00.324',-99.614,926.729,-30.205,-70.317,59.995,1.746,-10.415,2.119,1.714,-10.451,2.161,-0.258,0.229,-0.827,16.321
'0:00.328',-100.97,934.059,-29.145,-69.213,59.075,1.697,-10.367,2.083,1.647,-10.372,2.141,-0.251,0.231,-0.831,16.325
'0:00.332',-138.453,926.729,-28.474,-68.125,57.941,1.649,-10.293,2.084,1.647,-10.343,2.161,-0.251,0.231,-0.831,16.329
'0:00.336',-155.425,898.178,-27.549,-67.803,56.952,1.551,-10.292,2.058,1.57,-10.265,2.112,-0.244,0.222,-0.814,16.333
'0:00.340',-183.446,954.599,-26.702,-67.619,56.209,1.49,-10.267,2.033,1.484,-10.245,2.032,-0.258,0.222,-0.814,16.337
'0:00.344',-195.588,920.891,-25.897,-67.849,55.45,1.454,-10.218,2.034,1.436,-10.234,2.051,-0.248,0.216,-0.812,16.341
'0:00.348',-213.387,961.886,-25.155,-68.554,54.952,1.443,-10.146,2.011,1.37,-10.127,2.012,-0.249,0.209,-0.843,16.345
'0:00.352',-233.865,966.318,-24.209,-68.968,54.484,1.456,-10.013,2.038,1.398,-10.079,2.022,-0.246,0.215,-0.816,16.349
'0:00.355',-250.87,972.88,-23.99,-69.627,53.993,1.458,-9.893,2.04,1.379,-9.952,2.052,-0.235,0.211,-0.816,16.353
'0:00.359',-263.243,1023.463,-23.256,-70.302,53.426,1.483,-9.809,2.054,1.409,-9.886,1.985,-0.235,0.211,-0.816,16.357
'0:00.363',-275.649,1041.02,-23.107,-70.731,53.196,1.483,-9.797,2.066,1.389,-9.885,2.004,-0.223,0.199,-0.835,16.361
'0:00.367',-292.39,1063.734,-22.458,-71.068,52.79,1.495,-9.773,2.091,1.39,-9.789,1.966,-0.227,0.199,-0.866,16.364
'0:00.371',-281.042,1073.279,-22.013,-70.777,52.422,1.507,-9.785,2.103,1.418,-9.798,1.996,-0.235,0.19,-0.854,16.368
'0:00.375',-283.755,1066.674,-21.462,-71.022,51.824,1.52,-9.737,2.116,1.408,-9.788,2.044,-0.209,0.19,-0.829,16.372
'0:00.379',-280.248,1101.831,-20.628,-70.93,51.387,1.509,-9.688,2.129,1.417,-9.768,2.074,-0.225,0.178,-0.881,16.376
'0:00.383',-259.472,1096.717,-20.035,-71.13,51.165,1.486,-9.555,2.143,1.465,-9.642,2.075,-0.225,0.178,-0.881,16.38
'0:00.387',-244.121,1142.144,-19.435,-71.329,50.82,1.475,-9.375,2.146,1.437,-9.458,2.067,-0.232,0.186,-0.841,16.384
'0:00.391',-247.893,1175.084,-18.941,-71.498,50.475,1.453,-9.242,2.136,1.418,-9.321,2.087,-0.214,0.183,-0.86,16.388
'0:00.395',-233.336,1172.911,-18.693,-72.111,50.084,1.441,-9.122,2.151,1.36,-9.194,2.077,-0.211,0.176,-0.831,16.392
'0:00.398',-215.008,1161.917,-18.326,-72.31,49.801,1.442,-9.038,2.128,1.36,-9.096,2.117,-0.214,0.17,-0.885,16.396
'0:00.402',-211.501,1197.073,-18.079,-72.51,49.969,1.455,-8.965,2.166,1.399,-9,2.109,-0.211,0.172,-0.856,16.4
'0:00.406',-194.794,1241.008,-17.754,-72.724,49.663,1.456,-8.918,2.154,1.274,-8.91,2.117,-0.206,0.17,-0.91,16.404
'0:00.410',-181.858,1217.571,-17.712,-72.878,49.693,1.469,-8.881,2.179,1.399,-8.894,2.051,-0.206,0.17,-0.91,16.407
'0:00.414',-168.361,1248.338,-17.465,-72.77,49.67,1.493,-8.834,2.193,1.38,-8.836,2.002,-0.209,0.162,-0.866,16.411
'0:00.418',-135.211,1278.381,-16.991,-72.663,49.663,1.469,-8.785,2.205,1.399,-8.826,2.042,-0.204,0.163,-0.877,16.415
'0:00.422',-116.056,1300.37,-16.66,-72.617,49.716,1.483,-8.713,2.207,1.379,-8.746,2.15,-0.195,0.147,-0.892,16.419
'0:00.426',-97.993,1293.765,-16.215,-72.249,49.732,1.495,-8.665,2.232,1.427,-8.708,2.17,-0.188,0.146,-0.887,16.423
