'Elapsed time','chest_ecg','wrist_ppg','wrist_gyro_x','wrist_gyro_y','wrist_gyro_z','wrist_low_noise_accelerometer_x','wrist_low_noise_accelerometer_y','wrist_low_noise_accelerometer_z','wrist_wide_range_accelerometer_x','wrist_wide_range_accelerometer_y','wrist_wide_range_accelerometer_z','wrist_mag_x','wrist_mag_y','wrist_mag_z','sample_times_for_all_signals_apart_from_ecg'
'0:00.000',4.984,1220.715,-19.738,8.39,-9.783,3.127,-2.217,8.93,2.967,-2.315,8.886,-0.115,0.681,-0.62,50.999
'0:00.004',22.521,1219.814,-19.92,8.579,-8.935,3.174,-2.362,8.977,3.034,-2.345,8.917,-0.127,0.672,-0.576,51.003
'0:00.008',18.459,1218.984,-19.734,8.543,-8.662,3.174,-2.374,8.964,3.034,-2.404,8.897,-0.103,0.675,-0.551,51.007
'0:00.012',40.842,1218.315,-19.509,7.742,-7.704,3.15,-2.374,8.952,2.977,-2.442,8.857,-0.103,0.675,-0.551,51.011
'0:00.016',43.795,1217.811,-19.87,7.443,-6.953,3.101,-2.361,8.915,2.948,-2.442,8.856,-0.113,0.674,-0.547,51.015
'0:00.020',40.288,1217.374,-19.671,6.667,-6.67,3.077,-2.362,8.866,2.91,-2.422,8.855,-0.113,0.684,-0.595,51.019
'0:00.023',40.288,1216.88,-19.576,5.591,-6.458,3.028,-2.361,8.829,2.939,-2.443,8.758,-0.127,0.674,-0.578,51.023
'0:00.027',48.641,1216.269,-19.794,4.956,-6.106,3.003,-2.337,8.817,2.891,-2.443,8.718,-0.108,0.674,-0.586,51.027
'0:00.031',53.763,1215.533,-19.516,4.143,-5.563,2.979,-2.337,8.769,2.796,-2.443,8.668,-0.125,0.663,-0.601,51.031
'0:00.035',44.626,1214.682,-19.529,3.905,-5.341,2.967,-2.349,8.78,2.757,-2.422,8.697,-0.125,0.663,-0.601,51.034
'0:00.039',44.072,1213.755,-19.433,3.66,-4.833,2.979,-2.348,8.829,2.795,-2.412,8.727,-0.115,0.674,-0.568,51.038
'0:00.043',57.27,1212.803,-19.774,3.373,-4.162,2.954,-2.36,8.816,2.814,-2.441,8.756,-0.127,0.67,-0.586,51.042
'0:00.047',76.145,1211.893,-19.758,3.556,-3.612,2.954,-2.384,8.828,2.843,-2.451,8.786,-0.113,0.681,-0.597,51.046
'0:00.051',81.268,1211.076,-19.539,3.825,-3.144,3.015,-2.433,8.852,2.843,-2.441,8.776,-0.12,0.665,-0.607,51.05
'0:00.055',92.851,1210.39,-19.116,4.29,-2.48,3.1,-2.445,8.926,2.9,-2.462,8.777,-0.099,0.666,-0.58,51.054
'0:00.059',95.574,1209.873,-18.576,4.504,-1.401,3.112,-2.528,8.997,2.928,-2.518,8.923,-0.113,0.666,-0.632,51.058
'0:00.063',106.88,1209.53,-18.189,4.803,-0.09,3.124,-2.54,9.009,2.947,-2.557,8.933,-0.113,0.666,-0.632,51.062
'0:00.066',106.373,1209.389,-18.034,4.73,0.768,3.086,-2.6,8.959,2.967,-2.587,8.904,-0.124,0.661,-0.591,51.066
'0:00.070',110.941,1209.459,-17.822,4.467,1.66,3.074,-2.612,8.947,2.986,-2.656,8.855,-0.125,0.668,-0.595,51.07
'0:00.074',124.417,1209.731,-17.25,3.972,2.688,3.037,-2.636,8.946,2.929,-2.674,8.844,-0.101,0.665,-0.557,51.074
'0:00.078',128.986,1210.131,-17.276,3.764,3.428,2.976,-2.647,8.884,2.871,-2.674,8.814,-0.11,0.663,-0.611,51.077
'0:00.082',139.784,1210.575,-17.197,3.52,4.535,2.976,-2.636,8.848,2.813,-2.682,8.852,-0.12,0.661,-0.58,51.081
'0:00.086',136.831,1211.005,-17.276,3.11,5.172,2.927,-2.624,8.763,2.757,-2.665,8.665,-0.12,0.661,-0.645,51.085
